id,exp_session,test_type,result,added_at
107,2015-06-19 21:46:50+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M01,posttest,"{""posttest_1"":""2"",""posttest_2"":""4"",""posttest_3"":""3"",""posttest_4"":""3"",""posttest_5"":""7"",""posttest_6"":""5"",""posttest_7"":""3.5"",""posttest_8"":""3"",""posttest_9"":""years squared"",""posttest_10"":""2"",""posttest_11"":""years"",""posttest_12"":""3"",""posttest_13"":""How much the data deviates from the mean"",""posttest_14"":""3"",""posttest_15"":""Variance is the standard deviation squared. "",""posttest_16"":""2"",""posttest_17"":""First you find the mean. Then you subtract the mean from each data point and square that sum. Then add those sums together and divide by the total number of data points to find the population variance. Then find the square root of the population variance to find the population standard deviation."",""posttest_18"":""3"",""posttest_19"":""5"",""posttest_20"":""1"",""posttest_21"":""3"",""posttest_22"":""4"",""posttest_23"":""4"",""posttest_24"":""5""}",2015-06-19 22:06:00+00:00
108,2015-06-20 01:19:21+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M101,pretest,"{""pretest_5"":"""",""pretest_7"":"""",""pretest_9"":"""",""pretest_11"":"""",""pretest_13"":"""",""pretest_15"":""""}",2015-06-20 01:19:25+00:00
109,2015-06-20 01:43:46+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M101,pretest,"{""pretest_5"":"""",""pretest_7"":"""",""pretest_9"":"""",""pretest_11"":"""",""pretest_13"":"""",""pretest_15"":""""}",2015-06-20 01:43:50+00:00
110,2015-06-20 01:43:46+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M101,pretest,"{""pretest_5"":"""",""pretest_7"":"""",""pretest_9"":"""",""pretest_11"":"""",""pretest_13"":"""",""pretest_15"":""""}",2015-06-20 01:43:53+00:00
111,2015-06-20 01:45:40+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M101,pretest,"{""pretest_5"":"""",""pretest_7"":"""",""pretest_9"":"""",""pretest_11"":"""",""pretest_13"":"""",""pretest_15"":""""}",2015-06-20 01:45:43+00:00
112,2015-06-20 01:45:40+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M101,posttest,"{""posttest_5"":"""",""posttest_7"":"""",""posttest_9"":"""",""posttest_11"":"""",""posttest_13"":"""",""posttest_15"":"""",""posttest_17"":""""}",2015-06-20 01:54:28+00:00
113,2015-06-20 01:54:53+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M101,pretest,"{""pretest_1"":""13"",""pretest_2"":""Female"",""pretest_3"":""1"",""pretest_4"":""2"",""pretest_5"":""3"",""pretest_6"":""4"",""pretest_7"":""5"",""pretest_8"":""4"",""pretest_9"":""3"",""pretest_10"":"""",""pretest_12"":"""",""pretest_14"":"""",""pretest_16"":"""",""pretest_18"":"""",""pretest_20"":""""}",2015-06-20 01:55:25+00:00
114,2015-06-20 01:54:53+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M101,pretest,"{""pretest_1"":""13"",""pretest_2"":""Female"",""pretest_3"":""1"",""pretest_4"":""2"",""pretest_5"":""3"",""pretest_6"":""4"",""pretest_7"":""5"",""pretest_8"":""4"",""pretest_9"":""3"",""pretest_10"":"""",""pretest_12"":"""",""pretest_14"":"""",""pretest_16"":"""",""pretest_18"":"""",""pretest_20"":""""}",2015-06-20 01:55:33+00:00
115,2015-06-20 01:55:55+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M101,pretest,"{""pretest_1"":""31"",""pretest_2"":""Male"",""pretest_3"":""5"",""pretest_4"":""4"",""pretest_5"":""3"",""pretest_6"":""2"",""pretest_7"":""1"",""pretest_8"":""2"",""pretest_9"":""3"",""pretest_10"":"""",""pretest_12"":"""",""pretest_14"":"""",""pretest_16"":"""",""pretest_18"":"""",""pretest_20"":""""}",2015-06-20 01:56:18+00:00
116,2015-06-20 01:55:55+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M101,posttest,"{""posttest_8"":"""",""posttest_10"":"""",""posttest_12"":"""",""posttest_14"":"""",""posttest_16"":"""",""posttest_18"":"""",""posttest_20"":""""}",2015-06-20 02:59:54+00:00
117,2015-06-20 02:59:59+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M101,pretest,"{""pretest_1"":"""",""pretest_10"":"""",""pretest_12"":"""",""pretest_14"":"""",""pretest_16"":"""",""pretest_18"":"""",""pretest_20"":""""}",2015-06-20 03:00:03+00:00
118,2015-06-20 03:05:04+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M17,pretest,"{""pretest_1"":""36"",""pretest_2"":""Male"",""pretest_3"":""2"",""pretest_4"":""2"",""pretest_5"":""2"",""pretest_6"":""3"",""pretest_7"":""2"",""pretest_8"":""3"",""pretest_9"":""2"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""?"",""pretest_13"":""1"",""pretest_14"":""?"",""pretest_15"":""1"",""pretest_16"":""?"",""pretest_17"":""1"",""pretest_18"":""?"",""pretest_19"":""1"",""pretest_20"":""?"",""pretest_21"":""1""}",2015-06-20 03:07:06+00:00
119,2015-06-20 03:03:54+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=3 | participant_id=M26,pretest,"{""pretest_1"":""45"",""pretest_2"":""Female"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""2"",""pretest_6"":""4"",""pretest_7"":""3"",""pretest_8"":""4"",""pretest_9"":""1"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""5"",""pretest_13"":""1"",""pretest_14"":""4"",""pretest_15"":""1"",""pretest_16"":""5"",""pretest_17"":""1"",""pretest_18"":""I'm not sure"",""pretest_19"":""5"",""pretest_20"":""you use square root of the variance to get the standard eviation"",""pretest_21"":""4""}",2015-06-20 03:07:45+00:00
120,2015-06-20 03:05:54+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M16,pretest,"{""pretest_1"":""40"",""pretest_2"":""Female"",""pretest_3"":""2"",""pretest_4"":""2"",""pretest_5"":""2"",""pretest_6"":""2"",""pretest_7"":""2"",""pretest_8"":""1"",""pretest_9"":""1"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""3"",""pretest_13"":""1"",""pretest_14"":""6"",""pretest_15"":""1"",""pretest_16"":""age"",""pretest_17"":""1"",""pretest_18"":""I don't know what that means."",""pretest_19"":""1"",""pretest_20"":""Don't know."",""pretest_21"":""1""}",2015-06-20 03:08:00+00:00
121,2015-06-20 03:07:29+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=2 | participant_id=M12,pretest,"{""pretest_1"":""22"",""pretest_2"":""Male"",""pretest_3"":""4"",""pretest_4"":""4"",""pretest_5"":""3"",""pretest_6"":""4"",""pretest_7"":""3"",""pretest_8"":""3"",""pretest_9"":""3"",""pretest_10"":""7"",""pretest_11"":""5"",""pretest_12"":""idk"",""pretest_13"":""2"",""pretest_14"":""idk"",""pretest_15"":""2"",""pretest_16"":""idk"",""pretest_17"":""2"",""pretest_18"":""idk"",""pretest_19"":""2"",""pretest_20"":""idk"",""pretest_21"":""2""}",2015-06-20 03:09:53+00:00
